"stdev(Energy), created by Plot Digitizer, 2.6.8"
"Date: 7/18/18, 12:02:01 PM"


27
Energy,stdev
2.02817,18.2082,
2.47887,22.4697,
2.90141,25.7627,
3.29577,28.4746,
3.69014,30.9927,
4.22535,34.0920,
4.73239,36.8039,
5.29577,39.7094,
5.71831,41.8402,
6.05634,43.1961,
6.59155,45.3269,
7.15493,48.0387,
7.66197,49.9758,
8.14085,51.9128,
8.67606,53.8499,
9.23944,55.7869,
9.88732,57.7240,
10.4789,59.8547,
11.1549,62.1792,
11.8310,64.1162,
12.5070,66.4407,
13.3521,68.5714,
13.8028,69.9274,
14.3662,71.6707,
14.9014,72.8329,
15.3803,73.8015,
15.5493,73.8015,
